,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Unnamed: 15,Unnamed: 16
1812,25/05/2004,06.00.00,"0,2",798.0,-200.0,"2,6",630.0,40.0,1291.0,45.0,1125.0,536.0,"13,4","34,5","0,5272",,
3039,15/07/2004,09.00.00,"2,8",1193.0,-200.0,"15,4",1160.0,231.0,630.0,153.0,1927.0,1281.0,"24,4","45,5","1,3721",,
146,16/03/2004,20.00.00,"3,2",1474.0,230.0,"15,8",1173.0,166.0,854.0,143.0,1776.0,1432.0,"20,4","36,7","0,8704",,
1988,01/06/2004,14.00.00,"1,6",1156.0,-200.0,"13,5",1100.0,143.0,800.0,73.0,1884.0,1175.0,"25,7","43,8","1,4262",,
3141,19/07/2004,15.00.00,-200,1078.0,-200.0,"10,9",1012.0,115.0,777.0,129.0,1523.0,868.0,"41,4","13,8","1,0786",,
1998,02/06/2004,00.00.00,"0,8",1021.0,-200.0,"9,2",949.0,95.0,927.0,57.0,1764.0,977.0,"19,5","68,0","1,5269",,
3255,24/07/2004,09.00.00,"1,9",1152.0,-200.0,"9,9",976.0,111.0,672.0,90.0,1800.0,1179.0,"28,0","46,9","1,7480",,
2070,05/06/2004,00.00.00,"2,7",1076.0,-200.0,"12,9",1080.0,-200.0,846.0,-200.0,1787.0,1070.0,"21,1","48,1","1,1864",,
147,16/03/2004,21.00.00,"5,1",1800.0,349.0,"24,9",1426.0,317.0,700.0,177.0,2106.0,2034.0,"19,0","41,3","0,9007",,
3945,22/08/2004,03.00.00,-200,882.0,-200.0,"5,1",767.0,-200.0,856.0,-200.0,1492.0,897.0,"20,5","60,6","1,4470",,
2543,24/06/2004,17.00.00,"1,6",989.0,-200.0,"7,8",889.0,85.0,889.0,89.0,1602.0,664.0,"35,3","20,8","1,1664",,
1866,27/05/2004,12.00.00,-200,1100.0,-200.0,"11,5",1034.0,-200.0,995.0,-200.0,1586.0,958.0,"27,1","24,2","0,8560",,
3625,08/08/2004,19.00.00,"1,5",1010.0,-200.0,"6,5",836.0,66.0,848.0,79.0,1577.0,616.0,"31,1","38,8","1,7295",,
53,12/03/2004,23.00.00,"5,4",1677.0,367.0,"21,8",1346.0,300.0,741.0,134.0,2062.0,1657.0,"9,7","64,6","0,7771",,
412,27/03/2004,22.00.00,"1,6",1108.0,125.0,"6,8",848.0,102.0,1023.0,96.0,1421.0,1003.0,"11,8","50,8","0,7042",,
3441,01/08/2004,03.00.00,"0,5",891.0,-200.0,"3,6",691.0,-200.0,941.0,-200.0,1553.0,629.0,"24,8","58,7","1,8089",,
691,08/04/2004,13.00.00,"2,6",1176.0,301.0,"14,2",1123.0,166.0,816.0,125.0,1609.0,1068.0,"20,4","26,7","0,6323",,
1872,27/05/2004,18.00.00,-200,1320.0,-200.0,"24,8",1423.0,-200.0,767.0,-200.0,1986.0,1385.0,"27,0","23,5","0,8256",,
2508,23/06/2004,06.00.00,1,917.0,-200.0,"6,7",842.0,73.0,934.0,51.0,1656.0,819.0,"20,3","52,3","1,2367",,
1840,26/05/2004,10.00.00,"2,2",1137.0,-200.0,"14,9",1146.0,188.0,1144.0,136.0,1392.0,1327.0,"26,1","23,8","0,7938",,
1230,01/05/2004,00.00.00,"3,5",1425.0,275.0,"15,2",1155.0,185.0,709.0,110.0,1936.0,1789.0,"17,8","66,8","1,3460",,
2176,09/06/2004,10.00.00,"3,4",1267.0,-200.0,"19,3",1276.0,247.0,676.0,165.0,2059.0,1570.0,"30,1","32,8","1,3795",,
2709,01/07/2004,15.00.00,"1,9",1163.0,-200.0,"11,7",1039.0,118.0,723.0,121.0,1814.0,888.0,"37,8","26,9","1,7392",,
3907,20/08/2004,13.00.00,-200,927.0,-200.0,"3,8",698.0,-200.0,919.0,-200.0,1537.0,555.0,"35,5","34,9","1,9841",,
1358,06/05/2004,08.00.00,"3,6",1231.0,-200.0,"20,3",1304.0,203.0,652.0,121.0,2029.0,1315.0,"15,9","53,1","0,9529",,
3064,16/07/2004,10.00.00,2,1051.0,-200.0,"9,3",950.0,196.0,802.0,138.0,1593.0,1040.0,"28,8","33,0","1,2825",,
812,13/04/2004,14.00.00,"1,8",1073.0,181.0,"9,7",966.0,128.0,935.0,87.0,1537.0,805.0,"16,6","36,7","0,6867",,
433,28/03/2004,19.00.00,"1,9",1114.0,155.0,"6,2",823.0,93.0,1068.0,94.0,1357.0,671.0,"14,1","40,2","0,6438",,
3716,12/08/2004,14.00.00,1,949.0,-200.0,"5,0",764.0,44.0,898.0,56.0,1579.0,573.0,"35,9","32,1","1,8697",,
501,31/03/2004,15.00.00,"3,1",1390.0,386.0,"13,5",1100.0,195.0,755.0,119.0,1799.0,1192.0,"14,9","59,3","0,9974",,
1405,08/05/2004,07.00.00,-200,995.0,-200.0,"5,9",808.0,-200.0,1028.0,-200.0,1479.0,685.0,"10,3","75,6","0,9458",,
2353,16/06/2004,19.00.00,"3,3",1197.0,-200.0,"18,3",1249.0,158.0,698.0,125.0,1986.0,1132.0,"28,3","31,7","1,1968",,
233,20/03/2004,11.00.00,"2,8",1474.0,-200.0,"12,3",1061.0,195.0,768.0,113.0,1768.0,1406.0,"15,4","52,1","0,9046",,
107,15/03/2004,05.00.00,1,1075.0,39.0,"3,9",703.0,88.0,1156.0,74.0,1464.0,1010.0,"11,9","67,4","0,9375",,
2686,30/06/2004,16.00.00,"2,3",1134.0,-200.0,"12,7",1073.0,171.0,747.0,168.0,1765.0,1022.0,"39,7","20,4","1,4594",,
1520,13/05/2004,02.00.00,"0,6",859.0,-200.0,"2,5",620.0,32.0,1201.0,47.0,1316.0,445.0,"16,2","52,8","0,9626",,
2411,19/06/2004,05.00.00,"0,5",817.0,-200.0,"3,0",651.0,41.0,1109.0,56.0,1472.0,628.0,"21,7","52,6","1,3500",,
2935,11/07/2004,01.00.00,1,925.0,-200.0,"6,4",831.0,71.0,880.0,74.0,1513.0,789.0,"21,6","47,5","1,2118",,
2499,22/06/2004,21.00.00,"1,8",959.0,-200.0,"9,3",949.0,104.0,857.0,93.0,1640.0,949.0,"25,2","36,4","1,1528",,
240,20/03/2004,18.00.00,"2,3",1452.0,-200.0,"12,4",1063.0,142.0,856.0,110.0,1774.0,1146.0,"18,5","46,3","0,9744",,
3399,30/07/2004,09.00.00,-200,1333.0,-200.0,"22,0",1350.0,237.0,511.0,160.0,2186.0,1655.0,"26,8","46,6","1,6157",,
929,18/04/2004,11.00.00,-200,1217.0,-200.0,"7,3",869.0,-200.0,873.0,-200.0,1660.0,963.0,"14,9","74,5","1,2530",,
3090,17/07/2004,12.00.00,"1,5",1019.0,-200.0,"8,3",913.0,78.0,840.0,94.0,1428.0,759.0,"36,9","17,2","1,0576",,
746,10/04/2004,20.00.00,"2,4",1123.0,277.0,"10,5",996.0,172.0,861.0,133.0,1551.0,1033.0,"14,8","41,5","0,6929",,
436,28/03/2004,22.00.00,"1,1",960.0,65.0,"3,2",666.0,63.0,1266.0,80.0,1224.0,544.0,"11,9","46,5","0,6449",,
2889,09/07/2004,03.00.00,"0,5",903.0,-200.0,"2,7",631.0,-200.0,1070.0,-200.0,1458.0,550.0,"27,8","43,7","1,6039",,
974,20/04/2004,08.00.00,-200,1565.0,-200.0,"29,9",1549.0,-200.0,540.0,-200.0,2396.0,1645.0,"12,3","69,2","0,9906",,
3425,31/07/2004,11.00.00,"3,3",1240.0,-200.0,"15,9",1175.0,196.0,614.0,174.0,1895.0,1262.0,"36,0","28,0","1,6304",,
117,15/03/2004,15.00.00,"2,5",1317.0,185.0,"12,1",1053.0,153.0,926.0,104.0,1707.0,1137.0,"24,4","28,9","0,8736",,
3645,09/08/2004,15.00.00,"1,5",1016.0,-200.0,"7,5",880.0,64.0,783.0,72.0,1617.0,684.0,"34,4","31,9","1,7005",,
3486,03/08/2004,00.00.00,"0,1",1075.0,-200.0,"8,1",904.0,44.0,720.0,74.0,1692.0,777.0,"26,4","52,2","1,7708",,
1705,20/05/2004,19.00.00,"4,4",1444.0,-200.0,"22,1",1354.0,248.0,655.0,172.0,1956.0,1437.0,"25,7","27,9","0,9080",,
1126,26/04/2004,16.00.00,"1,5",984.0,133.0,"6,4",832.0,91.0,1034.0,81.0,1410.0,636.0,"20,0","32,7","0,7545",,
3003,13/07/2004,21.00.00,"2,6",1029.0,-200.0,"13,6",1105.0,203.0,737.0,128.0,1666.0,1195.0,"26,0","28,5","0,9484",,
775,12/04/2004,01.00.00,"0,6",799.0,29.0,"1,1",514.0,42.0,1615.0,59.0,1036.0,332.0,"14,1","34,0","0,5442",,
778,12/04/2004,04.00.00,"0,3",753.0,9.0,"0,7",462.0,16.0,1822.0,25.0,955.0,274.0,"13,9","30,9","0,4868",,
2858,07/07/2004,20.00.00,"4,3",1373.0,-200.0,"22,5",1364.0,282.0,597.0,184.0,2005.0,1745.0,"33,7","22,6","1,1658",,
1795,24/05/2004,13.00.00,"1,3",869.0,-200.0,"7,2",866.0,109.0,1107.0,85.0,1212.0,596.0,"23,8","14,5","0,4222",,
3688,11/08/2004,10.00.00,"1,8",1179.0,-200.0,"9,5",957.0,105.0,680.0,67.0,1819.0,1131.0,"33,6","41,0","2,0995",,
3695,11/08/2004,17.00.00,"1,6",1092.0,-200.0,"8,0",901.0,78.0,777.0,69.0,1691.0,734.0,"37,4","29,9","1,8848",,
2608,27/06/2004,10.00.00,"1,9",1110.0,-200.0,"10,5",996.0,121.0,782.0,111.0,1771.0,1090.0,"31,0","32,4","1,4294",,
1979,01/06/2004,05.00.00,"0,1",854.0,-200.0,"2,4",613.0,39.0,1272.0,41.0,1515.0,565.0,"16,8","81,3","1,5452",,
3500,03/08/2004,14.00.00,-200,1078.0,-200.0,"9,3",951.0,127.0,722.0,114.0,1718.0,747.0,"35,4","30,9","1,7505",,
3807,16/08/2004,09.00.00,"2,1",1028.0,-200.0,"12,0",1048.0,171.0,719.0,93.0,1624.0,1135.0,"27,1","32,4","1,1462",,
3608,08/08/2004,02.00.00,"0,8",868.0,-200.0,"4,5",736.0,32.0,894.0,39.0,1548.0,638.0,"24,9","57,3","1,7822",,
543,02/04/2004,09.00.00,5,1569.0,798.0,"20,7",1316.0,249.0,634.0,139.0,2054.0,1510.0,"13,6","65,3","1,0136",,
3748,13/08/2004,22.00.00,"1,2",957.0,-200.0,"5,1",767.0,57.0,867.0,74.0,1534.0,577.0,"26,6","50,4","1,7240",,
2415,19/06/2004,09.00.00,"1,6",1092.0,-200.0,"9,7",967.0,104.0,801.0,99.0,1774.0,910.0,"27,0","39,9","1,4020",,
1032,22/04/2004,18.00.00,-200,1433.0,-200.0,"28,3",1510.0,-200.0,661.0,-200.0,2038.0,1503.0,"25,8","24,3","0,7940",,
2728,02/07/2004,10.00.00,"2,8",1226.0,-200.0,"15,6",1168.0,265.0,650.0,158.0,1952.0,1311.0,"33,6","28,7","1,4693",,
737,10/04/2004,11.00.00,"2,1",1063.0,114.0,"7,5",877.0,115.0,971.0,89.0,1481.0,811.0,"18,0","38,4","0,7862",,
25,11/03/2004,19.00.00,"6,9",1776.0,461.0,"27,4",1488.0,383.0,702.0,172.0,2333.0,1704.0,"9,7","69,3","0,8319",,
44,12/03/2004,14.00.00,"2,7",1287.0,169.0,"12,8",1078.0,163.0,949.0,123.0,1660.0,1061.0,"16,3","35,7","0,6560",,
33,12/03/2004,03.00.00,"0,8",889.0,21.0,"1,9",574.0,-200.0,1680.0,-200.0,1187.0,512.0,"7,0","62,3","0,6261",,
480,30/03/2004,18.00.00,"2,2",1236.0,272.0,"9,6",962.0,117.0,853.0,101.0,1532.0,928.0,"15,8","40,4","0,7228",,
1507,12/05/2004,13.00.00,"5,1",1676.0,-200.0,"29,3",1534.0,305.0,496.0,131.0,2413.0,1828.0,"20,4","55,7","1,3205",,
1868,27/05/2004,14.00.00,-200,1049.0,-200.0,"10,1",983.0,-200.0,1071.0,-200.0,1515.0,782.0,"29,5","19,7","0,8015",,
3846,18/08/2004,00.00.00,-200,965.0,-200.0,"6,4",832.0,-200.0,795.0,-200.0,1455.0,978.0,"25,8","39,5","1,2949",,
1869,27/05/2004,15.00.00,-200,1086.0,-200.0,"11,9",1048.0,-200.0,1016.0,-200.0,1580.0,888.0,"30,6","18,6","0,8014",,
2134,07/06/2004,16.00.00,"2,3",1022.0,-200.0,"15,2",1155.0,172.0,871.0,113.0,1840.0,979.0,"34,3","19,4","1,0279",,
574,03/04/2004,16.00.00,-200,1361.0,-200.0,"13,5",1102.0,-200.0,834.0,-200.0,1704.0,991.0,"25,8","26,5","0,8675",,
1284,03/05/2004,06.00.00,"1,3",1147.0,-200.0,"8,2",906.0,152.0,815.0,80.0,1687.0,1126.0,"16,0","65,8","1,1844",,
2617,27/06/2004,19.00.00,"1,7",1102.0,-200.0,"10,3",990.0,90.0,799.0,103.0,1685.0,849.0,"34,3","26,0","1,3865",,
3703,12/08/2004,01.00.00,"1,2",1003.0,-200.0,"6,3",825.0,68.0,794.0,65.0,1716.0,801.0,"26,7","60,6","2,0942",,
2740,02/07/2004,22.00.00,"2,1",1090.0,-200.0,"12,7",1073.0,133.0,745.0,122.0,1693.0,1124.0,"26,1","31,1","1,0338",,
2412,19/06/2004,06.00.00,"0,5",825.0,-200.0,"3,2",667.0,47.0,1079.0,62.0,1475.0,659.0,"22,8","48,9","1,3424",,
3494,03/08/2004,08.00.00,-200,1349.0,-200.0,"21,3",1333.0,275.0,487.0,142.0,2256.0,1533.0,"27,4","48,6","1,7447",,
106,15/03/2004,04.00.00,-200,1078.0,44.0,"4,0",711.0,66.0,1150.0,71.0,1468.0,1013.0,"12,3","65,4","0,9351",,
2603,27/06/2004,05.00.00,"0,5",809.0,-200.0,"2,6",628.0,27.0,1127.0,42.0,1490.0,682.0,"24,0","50,3","1,4811",,
585,04/04/2004,03.00.00,-200,1124.0,-200.0,"5,6",793.0,-200.0,965.0,-200.0,1521.0,791.0,"14,7","65,0","1,0766",,
1802,24/05/2004,20.00.00,"1,2",895.0,-200.0,"6,7",845.0,102.0,1072.0,96.0,1241.0,763.0,"19,1","22,8","0,5010",,
950,19/04/2004,08.00.00,-200,1325.0,-200.0,"18,7",1260.0,-200.0,652.0,-200.0,1969.0,1303.0,"16,5","57,9","1,0826",,
1783,24/05/2004,01.00.00,"0,5",849.0,-200.0,"2,4",615.0,31.0,1285.0,44.0,1276.0,461.0,"17,2","43,1","0,8394",,
2720,02/07/2004,02.00.00,"1,5",1024.0,-200.0,"7,6",882.0,77.0,791.0,87.0,1662.0,1072.0,"25,3","47,6","1,5130",,
3920,21/08/2004,02.00.00,-200,863.0,-200.0,"3,9",707.0,-200.0,927.0,-200.0,1407.0,537.0,"25,0","47,3","1,4771",,
1022,22/04/2004,08.00.00,-200,1403.0,-200.0,"21,6",1340.0,-200.0,623.0,-200.0,2003.0,1502.0,"15,2","53,2","0,9107",,
2507,23/06/2004,05.00.00,"0,4",768.0,-200.0,"2,2",597.0,30.0,1155.0,40.0,1396.0,606.0,"21,7","46,8","1,2031",,
2280,13/06/2004,18.00.00,1,847.0,-200.0,"2,9",645.0,71.0,1245.0,68.0,1364.0,480.0,"20,7","43,4","1,0470",,
2002,02/06/2004,04.00.00,-200,830.0,-200.0,"3,2",662.0,30.0,1217.0,31.0,1556.0,704.0,"18,9","67,8","1,4689",,
2307,14/06/2004,21.00.00,1,851.0,-200.0,"4,1",718.0,57.0,1134.0,67.0,1471.0,561.0,"22,0","44,9","1,1699",,
1027,22/04/2004,13.00.00,-200,1121.0,-200.0,"11,1",1020.0,-200.0,893.0,-200.0,1585.0,916.0,"28,3","23,9","0,9060",,
2808,05/07/2004,18.00.00,"4,3",1328.0,-200.0,"24,1",1405.0,302.0,584.0,203.0,2072.0,1518.0,"37,3","19,9","1,2437",,
789,12/04/2004,15.00.00,"1,2",1025.0,78.0,"3,6",689.0,89.0,1189.0,77.0,1325.0,519.0,"11,4","61,2","0,8236",,
484,30/03/2004,22.00.00,"1,2",1053.0,68.0,"3,8",701.0,68.0,1147.0,81.0,1323.0,692.0,"15,1","44,6","0,7574",,
2556,25/06/2004,06.00.00,"1,6",1028.0,-200.0,"8,9",934.0,141.0,818.0,88.0,1743.0,987.0,"20,1","57,0","1,3216",,
3817,16/08/2004,19.00.00,"1,3",969.0,-200.0,"6,8",850.0,70.0,857.0,77.0,1503.0,695.0,"31,7","28,2","1,2962",,
2518,23/06/2004,16.00.00,"2,5",1111.0,-200.0,"14,4",1131.0,171.0,735.0,137.0,1825.0,1085.0,"34,3","22,4","1,1907",,
1588,15/05/2004,22.00.00,"1,6",1101.0,-200.0,"9,9",972.0,95.0,879.0,97.0,1552.0,1001.0,"20,2","34,3","0,8017",,
1232,01/05/2004,02.00.00,"1,6",1047.0,-200.0,"6,5",833.0,85.0,939.0,71.0,1647.0,1081.0,"16,5","70,2","1,3099",,
3118,18/07/2004,16.00.00,"0,4",973.0,-200.0,"5,6",792.0,53.0,977.0,70.0,1356.0,620.0,"41,4","11,8","0,9282",,
3877,19/08/2004,07.00.00,"1,4",1083.0,-200.0,"7,8",889.0,72.0,725.0,56.0,1734.0,918.0,"27,6","52,1","1,8936",,
1654,18/05/2004,16.00.00,"1,9",1158.0,-200.0,"10,1",981.0,96.0,862.0,105.0,1573.0,775.0,"31,7","19,5","0,8981",,
3863,18/08/2004,17.00.00,"1,7",1064.0,-200.0,"9,1",942.0,94.0,735.0,78.0,1650.0,801.0,"36,8","26,2","1,5984",,
2095,06/06/2004,01.00.00,"0,6",810.0,-200.0,"3,8",702.0,15.0,1093.0,24.0,1529.0,612.0,"21,3","54,9","1,3707",,
3922,21/08/2004,04.00.00,-200,792.0,-200.0,"2,2",597.0,-200.0,1137.0,-200.0,1320.0,417.0,"24,3","46,3","1,3857",,
2734,02/07/2004,16.00.00,"1,9",1105.0,-200.0,"10,5",995.0,162.0,778.0,149.0,1681.0,821.0,"37,1","23,0","1,4229",,
82,14/03/2004,04.00.00,-200,1130.0,56.0,"5,2",773.0,70.0,1130.0,82.0,1452.0,1051.0,"12,1","61,1","0,8603",,
2289,14/06/2004,03.00.00,"0,3",708.0,-200.0,"0,5",437.0,-200.0,1941.0,-200.0,1227.0,334.0,"19,0","49,0","1,0630",,
3493,03/08/2004,07.00.00,-200,1362.0,-200.0,"19,3",1277.0,282.0,529.0,140.0,2188.0,1392.0,"25,9","51,5","1,7000",,
1016,22/04/2004,02.00.00,-200,882.0,-200.0,"3,0",654.0,-200.0,1141.0,-200.0,1377.0,819.0,"16,0","53,5","0,9691",,
464,30/03/2004,02.00.00,"0,7",900.0,32.0,"1,7",563.0,46.0,1402.0,73.0,1130.0,618.0,"10,5","42,9","0,5442",,
2287,14/06/2004,01.00.00,"0,5",748.0,-200.0,"1,2",515.0,19.0,1580.0,30.0,1261.0,381.0,"19,7","44,8","1,0172",,
2383,18/06/2004,01.00.00,1,886.0,-200.0,"6,0",813.0,63.0,936.0,81.0,1592.0,918.0,"23,5","48,3","1,3777",,
993,21/04/2004,03.00.00,-200,857.0,-200.0,"3,0",653.0,-200.0,1197.0,-200.0,1375.0,779.0,"10,9","71,0","0,9249",,
816,13/04/2004,18.00.00,"4,6",1442.0,669.0,"21,5",1337.0,243.0,630.0,134.0,2004.0,1523.0,"15,3","46,8","0,8074",,
3028,14/07/2004,22.00.00,"1,9",970.0,-200.0,"11,2",1023.0,134.0,787.0,123.0,1552.0,1074.0,"26,3","27,3","0,9238",,
2675,30/06/2004,05.00.00,"0,7",952.0,-200.0,"4,6",742.0,49.0,892.0,57.0,1656.0,953.0,"24,6","59,1","1,8013",,
2416,19/06/2004,10.00.00,"1,6",1095.0,-200.0,"8,6",923.0,109.0,843.0,98.0,1736.0,999.0,"29,3","35,9","1,4411",,
1362,06/05/2004,12.00.00,"1,1",885.0,-200.0,"5,2",772.0,57.0,1035.0,56.0,1450.0,524.0,"13,0","64,3","0,9586",,
3482,02/08/2004,20.00.00,"1,7",1079.0,-200.0,"11,8",1042.0,87.0,697.0,116.0,1773.0,846.0,"30,5","38,2","1,6376",,
1171,28/04/2004,13.00.00,"2,4",1311.0,293.0,"15,7",1170.0,119.0,748.0,108.0,1787.0,1219.0,"28,1","26,9","1,0094",,
3164,20/07/2004,14.00.00,-200,1107.0,-200.0,"13,7",1106.0,135.0,727.0,129.0,1615.0,1024.0,"41,7","12,5","0,9941",,
3125,18/07/2004,23.00.00,"1,2",1132.0,-200.0,"11,0",1014.0,106.0,728.0,101.0,1628.0,1279.0,"27,9","30,4","1,1249",,
3597,07/08/2004,15.00.00,1,858.0,-200.0,"5,3",776.0,43.0,947.0,56.0,1431.0,498.0,"38,1","21,1","1,3863",,
2042,03/06/2004,20.00.00,-200,1058.0,-200.0,"14,5",1134.0,-200.0,855.0,-200.0,1797.0,1034.0,"24,1","34,8","1,0333",,
2372,17/06/2004,14.00.00,"1,7",1007.0,-200.0,"9,8",971.0,120.0,866.0,106.0,1682.0,802.0,"31,3","28,7","1,2885",,
2162,08/06/2004,20.00.00,"3,8",1213.0,-200.0,"21,6",1341.0,210.0,683.0,143.0,2090.0,1601.0,"28,8","30,2","1,1761",,
2921,10/07/2004,11.00.00,"0,9",895.0,-200.0,"6,4",831.0,66.0,946.0,83.0,1473.0,566.0,"31,2","23,4","1,0487",,
243,20/03/2004,21.00.00,"3,3",1535.0,-200.0,"13,7",1108.0,206.0,785.0,125.0,1820.0,1323.0,"16,4","53,8","0,9964",,
1559,14/05/2004,17.00.00,3,1146.0,-200.0,"14,9",1145.0,162.0,836.0,126.0,1647.0,1011.0,"27,6","22,3","0,8116",,
352,25/03/2004,10.00.00,"2,3",1133.0,300.0,"8,8",933.0,133.0,969.0,99.0,1552.0,923.0,"9,7","69,7","0,8389",,
1810,25/05/2004,04.00.00,-200,742.0,-200.0,"0,9",489.0,19.0,1559.0,30.0,1048.0,403.0,"14,0","33,7","0,5355",,
961,19/04/2004,19.00.00,-200,1032.0,-200.0,"7,9",895.0,-200.0,921.0,-200.0,1508.0,879.0,"10,7","71,5","0,9197",,
1348,05/05/2004,22.00.00,"1,1",861.0,-200.0,"3,7",695.0,56.0,1130.0,67.0,1438.0,500.0,"13,9","72,5","1,1502",,
113,15/03/2004,11.00.00,"4,2",1564.0,334.0,"20,1",1300.0,319.0,710.0,155.0,2029.0,1798.0,"19,8","38,5","0,8801",,
802,13/04/2004,04.00.00,"0,3",825.0,47.0,"0,9",489.0,21.0,1565.0,28.0,1171.0,363.0,"11,1","60,1","0,7925",,
2374,17/06/2004,16.00.00,"1,7",1014.0,-200.0,"9,5",958.0,117.0,878.0,102.0,1684.0,767.0,"30,9","30,3","1,3306",,
1048,23/04/2004,10.00.00,"3,2",1423.0,394.0,"18,3",1247.0,245.0,706.0,142.0,1887.0,1684.0,"23,7","31,0","0,8968",,
2711,01/07/2004,17.00.00,"2,9",1244.0,-200.0,"17,3",1219.0,177.0,651.0,157.0,1949.0,1077.0,"36,9","24,7","1,5134",,
861,15/04/2004,15.00.00,3,1303.0,437.0,"14,8",1143.0,170.0,748.0,114.0,1734.0,1228.0,"21,5","30,4","0,7677",,
3786,15/08/2004,12.00.00,"1,1",875.0,-200.0,"4,8",753.0,31.0,978.0,36.0,1402.0,579.0,"38,3","19,8","1,3067",,
3480,02/08/2004,18.00.00,"2,2",1100.0,-200.0,"13,7",1107.0,129.0,676.0,173.0,1801.0,876.0,"35,5","25,7","1,4626",,
449,29/03/2004,11.00.00,"1,5",988.0,118.0,"5,8",803.0,123.0,1105.0,98.0,1293.0,658.0,"15,6","30,1","0,5285",,
1753,22/05/2004,19.00.00,"2,7",1366.0,-200.0,"15,7",1171.0,132.0,693.0,103.0,1933.0,1068.0,"24,5","39,4","1,1963",,
2949,11/07/2004,15.00.00,"0,4",802.0,-200.0,"3,0",651.0,22.0,1206.0,34.0,1282.0,403.0,"32,4","19,3","0,9220",,
3111,18/07/2004,09.00.00,"0,9",1088.0,-200.0,"7,1",862.0,93.0,786.0,102.0,1519.0,1110.0,"25,7","34,8","1,1292",,
246,21/03/2004,00.00.00,"2,8",1456.0,-200.0,"10,6",999.0,175.0,835.0,107.0,1714.0,1202.0,"15,7","58,6","1,0396",,
3165,20/07/2004,15.00.00,-200,1127.0,-200.0,"14,0",1117.0,158.0,714.0,132.0,1625.0,1092.0,"42,8","12,3","1,0326",,
55,13/03/2004,01.00.00,"1,9",1196.0,67.0,"7,4",873.0,139.0,1071.0,97.0,1463.0,1144.0,"9,1","63,9","0,7423",,
1799,24/05/2004,17.00.00,2,996.0,-200.0,"12,0",1048.0,139.0,959.0,108.0,1397.0,822.0,"24,5","15,4","0,4663",,
1863,27/05/2004,09.00.00,-200,1354.0,-200.0,"24,5",1418.0,-200.0,749.0,-200.0,2043.0,1629.0,"21,8","35,0","0,9002",,
1170,28/04/2004,12.00.00,"2,5",1285.0,333.0,"14,2",1123.0,136.0,755.0,121.0,1741.0,1293.0,"27,4","28,2","1,0098",,
3096,17/07/2004,18.00.00,"1,6",1046.0,-200.0,"8,0",901.0,69.0,849.0,94.0,1464.0,722.0,"37,4","17,0","1,0757",,
3174,21/07/2004,00.00.00,-200,1128.0,-200.0,"10,0",978.0,92.0,733.0,89.0,1683.0,1193.0,"28,3","36,8","1,3906",,
2414,19/06/2004,08.00.00,"1,4",1031.0,-200.0,"9,1",945.0,100.0,806.0,86.0,1697.0,964.0,"24,6","44,9","1,3661",,
242,20/03/2004,20.00.00,"3,9",1625.0,-200.0,"16,4",1191.0,229.0,733.0,139.0,1885.0,1442.0,"17,1","51,3","0,9914",,
2145,08/06/2004,03.00.00,"0,4",746.0,-200.0,"1,7",565.0,-200.0,1369.0,-200.0,1423.0,608.0,"20,9","52,5","1,2852",,
3593,07/08/2004,11.00.00,"1,7",1012.0,-200.0,"8,4",914.0,80.0,760.0,88.0,1653.0,858.0,"33,5","34,0","1,7300",,
2316,15/06/2004,06.00.00,1,915.0,-200.0,"7,5",877.0,92.0,897.0,69.0,1651.0,937.0,"19,9","51,8","1,1911",,
3245,23/07/2004,23.00.00,"1,8",1169.0,-200.0,"13,0",1084.0,116.0,655.0,91.0,1831.0,1273.0,"28,5","38,4","1,4680",,
139,16/03/2004,13.00.00,4,1579.0,366.0,"22,3",1359.0,252.0,724.0,161.0,1998.0,1671.0,"25,3","26,1","0,8264",,
2433,20/06/2004,03.00.00,"1,4",-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,,
481,30/03/2004,19.00.00,"2,7",1334.0,301.0,"11,9",1047.0,129.0,815.0,106.0,1638.0,1038.0,"15,9","42,0","0,7541",,
453,29/03/2004,15.00.00,"1,4",962.0,155.0,"5,2",776.0,102.0,1131.0,81.0,1247.0,535.0,"18,2","26,1","0,5387",,
2275,13/06/2004,13.00.00,"0,6",793.0,-200.0,"1,9",579.0,47.0,1380.0,52.0,1303.0,427.0,"23,4","34,9","0,9910",,
2168,09/06/2004,02.00.00,"0,9",914.0,-200.0,"5,8",801.0,42.0,965.0,57.0,1609.0,908.0,"22,3","50,6","1,3486",,
3670,10/08/2004,16.00.00,"1,2",1034.0,-200.0,"6,7",845.0,67.0,841.0,88.0,1566.0,702.0,"39,8","25,4","1,8213",,
119,15/03/2004,17.00.00,"2,8",1445.0,214.0,"14,8",1141.0,156.0,857.0,110.0,1824.0,1252.0,"23,8","31,3","0,9137",,
799,13/04/2004,01.00.00,"0,5",844.0,27.0,"1,3",532.0,25.0,1499.0,36.0,1176.0,376.0,"10,5","59,9","0,7624",,
1526,13/05/2004,08.00.00,"3,6",1347.0,-200.0,"17,9",1237.0,264.0,645.0,136.0,1984.0,1328.0,"16,0","59,3","1,0711",,
